riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2505689-T	1.00E-06	-	NR	1.2273	-	NR	VN1R53P	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	623420:13:00	33106475	Li QS
rs77330698-G	6.00E-06	-	NR	0.6787	-	NR	ABLIM1	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1909901:55:00	33106475	Li QS
rs665654-G	5.00E-06	-	NR	0.8466	-	NR	ZBTB44	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	2170500:50:00	33106475	Li QS
rs2358884-C	9.00E-06	-	NR	0.7086	-	NR	SAMD4A	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	910415:39:00	33106475	Li QS
rs199610398-?	3.00E-06	-	NR	0.4725	-	NR	AK7,PAPOLA-DT	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1608197:21:00	33106475	Li QS
rs1984528-G	3.00E-06	-	NR	0.837	-	NR	SNRPCP18,LINC02348	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1692756:31:00	33106475	Li QS
rs140297241-T	4.00E-06	-	NR	2.2041	-	NR	NFATC2	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	858056:10:00	33106475	Li QS
rs12046604-T	1.00E-05	-	NR	0.7007	-	NR	GBP6,GBP5	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	1489152:53:00	33106475	Li QS
rs6689881-T	6.00E-06	-	NR	1.1853	-	NR	LGALS8,EDARADD	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	3941812:44:00	33106475	Li QS
rs144159691-T	1.00E-05	-	NR	0.3982	-	NR	KCNS3	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	303806:08:00	33106475	Li QS
rs6710522-G	5.00E-07	-	NR	0.7502	-	NR	YIPF4,BIRC6	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	538882:06:00	33106475	Li QS
rs4435504-T	5.00E-07	-	NR	1.3285	-	NR	BIRC6	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	542248:41:00	33106475	Li QS
rs11687719-G	2.00E-06	-	NR	1.182	-	NR	CRTC1P1,FTH1P6	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	877160:13:00	33106475	Li QS
rs17044107-T	9.00E-06	-	NR	1.3496	-	NR	-	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	885009:10:00	33106475	Li QS
rs71314391-G	3.00E-06	-	NR	0.5266	-	NR	IRAK2	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	170001:01:00	33106475	Li QS
rs114203670-G	8.00E-06	-	NR	1.9023	-	NR	GK5	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	2369805:05:00	33106475	Li QS
rs4955665-T	2.00E-09	-	NR	1.245	-	NR	MECOM	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	2827290:11:00	33106475	Li QS
rs13073066-T	8.00E-06	-	NR	1.1855	-	NR	RNU6-637P,TERC	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	2829028:28:00	33106475	Li QS
rs74348612-T	4.00E-06	-	NR	1.4369	-	NR	MAEA	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	21813:24:00	33106475	Li QS
rs3936615-G	3.00E-06	-	NR	0.777	-	NR	SORCS2	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	122217:30:00	33106475	Li QS
rs185114853-T	7.00E-06	-	NR	0.2947	-	NR	GALNTL6	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	2877191:52:00	33106475	Li QS
rs144768167-C	9.00E-06	-	NR	0.3227	-	NR	GALNTL6	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	2878874:14:00	33106475	Li QS
rs117875254-T	2.00E-06	-	NR	0.6007	-	NR	-	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	150269:00:00	33106475	Li QS
rs186638945-T	3.00E-06	-	NR	1.7936	-	NR	CCDC71L	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	1777213:16:00	33106475	Li QS
rs10104815-T	5.00E-08	-	NR	1.215	-	NR	RNU1-35P,LINC02055	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	2263290:19:00	33106475	Li QS
rs201857596-?	9.00E-06	-	NR	1.3417	-	NR	EXOSC3	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	629658:34:00	33106475	Li QS
rs78254522-T	5.00E-07	-	NR	0.569	-	NR	ANK3	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	1005259:22:00	33106475	Li QS
rs481206-T	2.00E-06	-	NR	1.1922	-	NR	ARAP1,STARD10	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	1213117:57:00	33106475	Li QS
rs199882651-?	9.00E-06	-	NR	0.836	-	NR	FCHSD2	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	1217343:08:00	33106475	Li QS
rs940850-T	2.00E-06	-	NR	0.7505	-	NR	NTN1	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	150463:03:00	33106475	Li QS
rs372464-G	5.00E-06	-	NR	0.8232	-	NR	NFATC1	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	1325540:59:00	33106475	Li QS
rs293711-G	8.00E-06	-	NR	0.8517	-	NR	BPIFB9P	Response to serotonin-norepinephrine reuptake inhibitors (responders vs non-responders)	response to serotonin-norephinephrine reuptake inhibitor	-	GCST012159	555894:12:00	33106475	Li QS
rs1908557-T	3.00E-08	-	NR	1.348	-	[1.213-1.497]	-	Response to bupropion in depression	response to bupropion	unipolar depression,mood disorder	GCST003800	1491674:02:00	27622933	Li QS
rs77945277-?	2.00E-07	-	NR	11.111111	-	[3.83-32.26]	BAZ1A	Response to bupropion in depression	response to bupropion	unipolar depression,mood disorder	GCST003800	580696:49:00	27622933	Li QS
rs4839421-?	5.00E-07	-	NR	1.249	-	[1.146-1.362]	PROK1,CYMP	Response to bupropion in depression	response to bupropion	unipolar depression,mood disorder	GCST003800	1841323:18:00	27622933	Li QS
rs75995702-?	7.00E-07	-	NR	12.857	-	[3.496-47.288]	-	Response to bupropion in depression	response to bupropion	unipolar depression,mood disorder	GCST003800	713097:17:00	27622933	Li QS
rs34102224-?	1.00E-06	-	NR	1.354	-	[1.197-1.531]	-	Response to bupropion in depression	response to bupropion	unipolar depression,mood disorder	GCST003800	89416:26:00	27622933	Li QS
rs977145-A	7.00E-06	-	NR	-	-	-	ZRANB2-AS2,NEGR1	Venlafaxine response in generalised anxiety disorder (HAMA-A score reduction after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004271	1191061:06:00	28437668	Jung J
rs7853333-A	4.00E-06	-	NR	-	-	-	RN7SKP114,DCAF12	Venlafaxine response in generalised anxiety disorder (HAMA-A score reduction after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004271	567770:01:00	28437668	Jung J
rs76778048-A	8.00E-06	(CGI)	0.25	10.2	-	-	LINC02549	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 12 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004270	1137006:40:00	28437668	Jung J
rs3819595-A	4.00E-06	(HAM-A)	0.35	6.45	-	-	PCP4	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 12 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004270	665200:33:00	28437668	Jung J
rs2070419-A	5.00E-06	(CGI)	0.47	6.09	-	-	FBXW11P1,TIAM1	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 12 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004270	526032:51:00	28437668	Jung J
rs3020264-A	3.00E-06	(HAM-A)	0.48	4.7	-	-	MCPH1,MCPH1-AS1	Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004273	110525:36:00	28437668	Jung J
rs10914746-G	9.00E-06	(CGI)	0.43	4.63	-	-	CSMD2	Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004273	559571:44:00	28437668	Jung J
rs7984972-A	8.00E-06	(CGI)	0.57	4.17	-	-	-	Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004273	523910:51:00	28437668	Jung J
rs13129231-A	6.00E-06	(CGI)	0.9	5.88	-	-	CAMK2D	Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 12 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004274	1890532:45:00	28437668	Jung J
rs2236295-A	5.00E-06	(CGI)	0.52	4.14	-	-	ADO	Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 12 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004274	1046762:12:00	28437668	Jung J
rs7152947-A	3.00E-06	(HAM-A)	0.89	5.88	-	-	ANGEL1	Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 12 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004274	1280443:10:00	28437668	Jung J
rs8020289-G	9.00E-06	(HAM-A)	0.88	5.26	-	-	LRRC74A	Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 12 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004274	1280466:57:00	28437668	Jung J
rs2307441-G	3.00E-06	(HAM-A)	0.22	14.38	-	-	POLG	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004275	1488658:15:00	28437668	Jung J
rs6712232-G	5.00E-06	(CGI)	0.22	14.28	-	-	RPS20P10,DYSF	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004275	1198400:22:00	28437668	Jung J
rs3013580-G	2.00E-06	(CGI)	0.59	6.23	-	-	LINC00364	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004275	1122171:04:00	28437668	Jung J
rs75965524-G	4.00E-06	(CGI)	0.22	14.47	-	-	AGAP1	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004275	3932026:54:00	28437668	Jung J
rs6918679-A	8.00E-07	(CGI)	0.28	11.97	-	-	-	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 24 weeks)	response to venlafaxine	generalized anxiety disorder	GCST004275	1247053:41:00	28437668	Jung J
rs17450029-T	3.00E-06	(Tri-Tetra/cyclic antidepressants)	0.23	-	-	-	DPH5	QT interval (drug interaction)	QT interval,response to tricyclic antidepressant	-	GCST001890	1684591:43:00	23459443	Avery CL
rs3217869-A	4.00E-06	(Tri-Tetra/cyclic antidepressants)	0.41	-	-	-	CCND2	QT interval (drug interaction)	QT interval,response to tricyclic antidepressant	-	GCST001890	71525:24:00	23459443	Avery CL
rs2708240-A	4.00E-06	(Tri-Tetra/cyclic antidepressants)	0.51	-	-	-	CNTNAP2	QT interval (drug interaction)	QT interval,response to tricyclic antidepressant	-	GCST001890	2464681:05:00	23459443	Avery CL
rs6755560-T	2.00E-06	(Tri-Tetra/cyclic antidepressants)	0.32	-	-	-	FASTKD2,CPO	QT interval (drug interaction)	QT interval,response to tricyclic antidepressant	-	GCST001890	3447552:59:00	23459443	Avery CL
rs9375225-T	6.00E-06	(Tri-Tetra/cyclic antidepressants)	0.48	-	-	-	EIF4EBP2P3	QT interval (drug interaction)	QT interval,response to tricyclic antidepressant	-	GCST001890	1635687:18:00	23459443	Avery CL
rs6889896-?	5.00E-07	(% Change in score)	NR	-	0.17 unit decrease	[NR]	LINC02240	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	2089397:26:00	25897834	Biernacka JM
rs35806662-?	6.00E-07	(% Change in score)	NR	-	0.2 unit decrease	[NR]	UPP2	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	2632233:53:00	25897834	Biernacka JM
rs73069924-?	8.00E-07	(% Change in score)	NR	-	0.44 unit decrease	[NR]	MTMR12	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	537973:47:00	25897834	Biernacka JM
rs4615376-?	1.00E-06	(% Change in score)	NR	-	0.16 unit decrease	[NR]	PHACTR1	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	217853:21:00	25897834	Biernacka JM
rs2566255-?	2.00E-06	(% Change in score)	NR	-	0.26 unit increase	[NR]	OR52I2	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	76410:25:00	25897834	Biernacka JM
rs910039-?	2.00E-06	(% Change in score)	NR	-	0.13 unit increase	[NR]	CAP2	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	291767:53:00	25897834	Biernacka JM
rs17068112-?	3.00E-06	(% Change in score)	NR	-	0.26 unit increase	[NR]	REPS1	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	2315489:08:00	25897834	Biernacka JM
rs7485210-?	3.00E-06	(% Change in score)	NR	-	0.14 unit increase	[NR]	LINC01257,ADGRD1	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	2185917:08:00	25897834	Biernacka JM
rs74378198-?	4.00E-06	(% Change in score)	NR	-	0.43 unit decrease	[NR]	OSMR	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	647851:46:00	25897834	Biernacka JM
rs4236420-?	4.00E-06	(% Change in score)	NR	-	0.13 unit increase	[NR]	PER3P1	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	160814:59:00	25897834	Biernacka JM
rs2456568-?	5.00E-08	(Response)	NR	1.36	-	[NR]	HPRT1P3	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	1565980:26:00	25897834	Biernacka JM
rs113889867-?	9.00E-07	(Response)	NR	1.96	-	[NR]	STMN2	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	1327412:25:00	25897834	Biernacka JM
rs10954808-?	1.00E-06	(Response)	NR	1.37	-	[NR]	RNA5SP261,NRG1	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	527043:07:00	25897834	Biernacka JM
rs506546-?	1.00E-06	(Response)	NR	1.32	-	[NR]	CSMD2	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	566229:13:00	25897834	Biernacka JM
rs74546197-?	3.00E-06	(Response)	NR	2.17	-	[NR]	SLC26A9,PM20D1	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	3431851:51:00	25897834	Biernacka JM
rs72772787-?	4.00E-06	(Response)	NR	2.34	-	[NR]	OR11L1,TRIM58	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	4130885:36:00	25897834	Biernacka JM
rs2043144-?	4.00E-06	(Response)	NR	2.63	-	[NR]	TRPM3	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	1188942:59:00	25897834	Biernacka JM
rs291028-?	5.00E-06	(Response)	NR	1.64	-	[NR]	-	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	1584557:37:00	25897834	Biernacka JM
rs7051085-?	6.00E-06	(Response)	NR	1.59	-	[NR]	PTCHD1	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	X:23356860	25897834	Biernacka JM
rs1210638-?	6.00E-06	(Response)	NR	1.33	-	[NR]	DGCR5	Response to serotonin reuptake inhibitors in major depressive disorder	response to selective serotonin reuptake inhibitor	unipolar depression	GCST002868	316589:30:00	25897834	Biernacka JM
rs17768250-?	7.00E-07	-	NR	2.3758	-	NR	ZFAT	Response to SSRI (symptom remission)	response to selective serotonin reuptake inhibitor	-	GCST007060	2242648:31:00	29160301	Fabbri C
rs79645820-?	5.00E-06	-	NR	2.8465698	-	NR	KYNU,ARHGAP15	Response to SSRI (symptom remission)	response to selective serotonin reuptake inhibitor	-	GCST007060	2384784:19:00	29160301	Fabbri C
rs12044299-?	4.00E-06	-	NR	2.1362956	-	NR	KAZN	Response to SSRI (symptom remission)	response to selective serotonin reuptake inhibitor	-	GCST007060	232694:44:00	29160301	Fabbri C
rs12644500-?	5.00E-06	-	NR	1.6038493	-	NR	LINC01378	Response to SSRI (symptom remission)	response to selective serotonin reuptake inhibitor	-	GCST007060	1959773:57:00	29160301	Fabbri C
rs7482428-?	4.00E-07	-	NR	1.4643433	-	NR	HBE1,HBG2,OR51B5	Response to SSRI (symptom remission)	response to selective serotonin reuptake inhibitor	-	GCST007060	88697:36:00	29160301	Fabbri C
rs1102156-?	2.00E-06	-	NR	1.4518	-	NR	RN7SL150P,KCTD15	Response to SSRI (symptom remission)	response to selective serotonin reuptake inhibitor	-	GCST007060	564150:22:00	29160301	Fabbri C
rs3935545-?	3.00E-06	-	NR	1.6929	-	NR	LINC02361,NOC4L	Response to SSRI (symptom remission)	response to selective serotonin reuptake inhibitor	-	GCST007060	2203038:19:00	29160301	Fabbri C
rs4352485-?	2.00E-06	-	NR	1.9615	-	NR	TBC1D1	Response to SSRI (symptom remission)	response to selective serotonin reuptake inhibitor	-	GCST007060	632930:07:00	29160301	Fabbri C
rs146158788-?	6.00E-06	-	NR	0.7349	-	NR	RERE	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	1750750:58:00	33106475	Li QS
rs6704443-T	3.00E-06	-	NR	0.9026	-	NR	NTPCR	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	3882637:49:00	33106475	Li QS
rs80164876-G	8.00E-06	-	NR	1.5482	-	NR	EGFLAM	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	641074:02:00	33106475	Li QS
rs56276481-T	1.00E-05	-	NR	0.8016	-	NR	P4HA2	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	2020285:36:00	33106475	Li QS
rs1106260-T	2.00E-07	-	NR	0.8889	-	NR	C9orf62	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	2254081:08:00	33106475	Li QS
rs17769621-G	1.00E-06	-	NR	0.5889	-	NR	C10orf90	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	2113018:14:00	33106475	Li QS
rs75596821-G	6.00E-06	-	NR	0.7298	-	NR	OR52B4,SSU72P7	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	72446:37:00	33106475	Li QS
rs201766116-?	4.00E-06	-	NR	1.4873	-	NR	TEAD4,TSPAN9	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	50931:30:00	33106475	Li QS
rs4884091-G	2.00E-07	-	NR	1.1553	-	NR	OBI1-AS1	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	1306664:28:00	33106475	Li QS
rs2268972-T	9.00E-06	-	NR	1.1125	-	NR	ACTN1	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	1149311:17:00	33106475	Li QS
rs72731766-T	8.00E-06	-	NR	1.437	-	NR	SEMA6D	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	787770:21:00	33106475	Li QS
rs55905802-T	7.00E-06	-	NR	0.7148	-	NR	MAP2K1	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	1108030:39:00	33106475	Li QS
rs903975-T	8.00E-06	-	NR	1.1031	-	NR	AGBL1	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	1437607:27:00	33106475	Li QS
rs12607258-C	8.00E-06	-	NR	1.134	-	NR	OSBPL1A	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	403273:00:00	33106475	Li QS
rs11083575-G	7.00E-06	-	NR	1.129	-	NR	CYP2A7	Response to SSRI (responders vs non-responders)	response to selective serotonin reuptake inhibitor	-	GCST012160	681284:35:00	33106475	Li QS
rs80164876-?	4.00E-07	-	NR	2.09	-	[1.551-2.815]	EGFLAM	Response to selective serotonin reuptake inhibitors in depression	response to selective serotonin reuptake inhibitor	unipolar depression,mood disorder	GCST003801	641074:02:00	27622933	Li QS
rs114465512-?	5.00E-07	-	NR	12.987013	-	[3.98-43.48]	IGLV10-67,IGLVIV-66-1	Response to selective serotonin reuptake inhibitors in depression	response to selective serotonin reuptake inhibitor	unipolar depression,mood disorder	GCST003801	367486:55:00	27622933	Li QS
rs35863382-?	7.00E-07	-	NR	1.540832	-	[1.3-1.83]	PPP4R3A	Response to selective serotonin reuptake inhibitors in depression	response to selective serotonin reuptake inhibitor	unipolar depression,mood disorder	GCST003801	1524556:12:00	27622933	Li QS
rs117198528-?	9.00E-07	-	NR	1.823	-	[1.437-2.313]	SMUG1P1,ACAA2	Response to selective serotonin reuptake inhibitors in depression	response to selective serotonin reuptake inhibitor	unipolar depression,mood disorder	GCST003801	828254:28:00	27622933	Li QS
rs138472420-?	1.00E-06	-	NR	5.628	-	[2.692-11.767]	BICRA	Response to selective serotonin reuptake inhibitors in depression	response to selective serotonin reuptake inhibitor	unipolar depression,mood disorder	GCST003801	794315:05:00	27622933	Li QS
rs7785360-?	2.00E-08	-	NR	-	-	-	AUTS2	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	response to selective serotonin reuptake inhibitor	unipolar depression	GCST003118	1165746:52:00	26348319	Myung W
rs10924309-?	6.00E-06	-	NR	-	-	-	KIF26B	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	response to selective serotonin reuptake inhibitor	unipolar depression	GCST003118	4094999:40:00	26348319	Myung W
rs6978272-?	7.00E-06	-	NR	3.448276	-	[2-5.88]	EXOC4	Response to selective serotonin reuptake inhibitors in depression	response to selective serotonin reuptake inhibitor	unipolar depression	GCST006267	2223395:05:00	30034349	Lin E
rs7954376-?	4.00E-06	-	NR	3.448276	-	[2.04-5.88]	GRIN2B	Response to selective serotonin reuptake inhibitors in depression	response to selective serotonin reuptake inhibitor	unipolar depression	GCST006267	224698:21:00	30034349	Lin E
rs4810894-?	3.00E-06	-	NR	2.7	-	[1.78-4.10]	PREX1,ARFGEF2	Response to selective serotonin reuptake inhibitors in depression	response to selective serotonin reuptake inhibitor	unipolar depression	GCST006267	815294:22:00	30034349	Lin E
rs77554113-?	1.00E-06	-	NR	4.81	-	[2.54-9.13]	TSHZ3	Remission after SSRI treatment in major depression	response to selective serotonin reuptake inhibitor	unipolar depression	GCST006266	519019:34:00	30034349	Lin E
rs10784781-?	4.00E-06	-	NR	1.5360984	-	NR	RPS26P45,LINC02373	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	1157249:36:00	29160301	Fabbri C
rs1102156-?	3.00E-06	-	NR	1.4086	-	NR	RN7SL150P,KCTD15	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	564150:22:00	29160301	Fabbri C
rs11733276-?	5.00E-07	-	NR	1.61577	-	NR	LINC01378	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	1959670:43:00	29160301	Fabbri C
rs17768250-?	7.00E-07	-	NR	2.1933	-	NR	ZFAT	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	2242648:31:00	29160301	Fabbri C
rs35551581-?	4.00E-06	-	NR	1.600512	-	NR	RB1CC1,NPBWR1	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	880755:19:00	29160301	Fabbri C
rs3849106-?	3.00E-06	-	NR	1.4394	-	NR	MYO10	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	278435:06:00	29160301	Fabbri C
rs4352485-?	3.00E-06	-	NR	1.8042	-	NR	TBC1D1	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	632930:07:00	29160301	Fabbri C
rs7420310-?	4.00E-06	-	NR	1.4220706	-	NR	USP21P2,RN7SKP203	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	1272603:50:00	29160301	Fabbri C
rs74442120-?	2.00E-06	-	NR	3.9588277	-	NR	MYT1L	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	40073:42:00	29160301	Fabbri C
rs7482428-?	2.00E-07	-	NR	1.440507	-	NR	HBE1,HBG2,OR51B5	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	88697:36:00	29160301	Fabbri C
rs76756809-?	1.00E-06	-	NR	1.7205782	-	NR	-	Response to antidepressants (symptom remission)	response to antidepressant	-	GCST007061	1098638:59:00	29160301	Fabbri C
